"id","description"
1,"Braque d'Auvergne"
2,"Barbet"
3,"Grand Bleu de Gascogne"
4,"Border"
5,"Alaskan Husky"
6,"Mexikanischer Nackthund"
7,"Welsh Springer Spaniel"
8,"Italienisches Windspiel"
9,"Bouvier des Flandres"
10,"Brasilianischer Terrier"
11,"Teckel"
12,"Chihuahua"
13,"Berner Sennenhund"
14,"Labrador Retriever"
15,"Affenpinscher"
16,"Staffordshire Bullterrier"
17,"Entlebucher"
18,"Cirneco dell'Etna"
19,"Corgie"
20,"Irish Terrier"
21,"Kurzhaar Collie"
22,"Retriever"
23,"Taiwanhund"
24,"Gonczy Polski"
25,"Fila Brasileiro"
26,"Toller"
27,"Kooikerhondje"
28,"Kleiner Münsterländer"
29,"Anatolischer Hirtenhund"
30,"Australian Shepherd"
31,"Pit Bull Terrier"
32,"Chow Chow"
33,"Chesapeake Bay Retriever"
34,"Collie"
35,"Wolfspitz"
36,"Gordon Setter"
37,"Manchester Terrier"
38,"Prager Rattler"
39,"Zwergpudel"
40,"Mittelpudel"
41,"Schwedischer Vallhund"
42,"Dobermann"
43,"Mischling"
44,"Deutsch Kurzhaar"
45,"Deerhound"
46,"Griffon belge"
47,"Katalanischer Schäferhund (Gos d'Atura Català)"
48,"Havaneser"
49,"Pudel"
50,"Podenco Canario"
51,"Westgotenspitz"
52,"Weisser Schäferhund (Berger Blanc Suisse)"
53,"Deutscher Jagdterrier"
54,"Greyhound"
55,"Perro Dogo Mallorquin"
56,"Niederlaufhund"
57,"Katalanischer Hirtenhund"
58,"Husky"
59,"English Springer Spaniel"
60,"Irish Soft Coated Wheaten Terrier"
61,"English Pointer"
62,"Irish Setter"
63,"American Cocker Spaniel"
64,"Podenco"
65,"Dachsbracke"
66,"Briard"
67,"Bobtail (Old English Shepdog)"
68,"Malinois"
69,"Dogge"
70,"Elo"
71,"Mastiff"
72,"Bardino"
73,"Griffon Fauve de Bretagne"
74,"Zwergspitz"
75,"American Water Spaniel"
76,"Basset bleu de Gascogne"
77,"Deutscher Pinscher"
78,"Weimaraner"
79,"Alpenländische Dachsbracke"
80,"Vizsla"
81,"Daisy-Dog"
82,"Shih Tzu"
83,"Nihon Supittsu"
84,"Zwergrauhaardackel"
85,"Bergamasker"
86,"Danish-Swedish Farmdog"
87,"Windhund"
88,"Tschechoslowakischer Wolfshund"
89,"Appenzeller Sennenhund"
90,"Grand anglo-français tricolore"
91,"Kleinspitz"
92,"Basenji"
93,"Korea Jindo Dog"
94,"Russischer schwarzer Terrier"
95,"Zwergpinscher"
96,"Griffon bruxellois"
97,"Luzerner Niederlaufhund"
98,"Spanischer Windhund"
99,"Mittelschnauzer"
100,"Zwergschnauzer"
101,"Terrier"
102,"Wäller"
103,"Petit Basset Griffon Vendéen"
104,"Jura Laufhund"
105,"Afghanischer Windhund"
106,"Irish Water Spaniel"
107,"Saarloos-Wolfshund"
108,"Rehpinscher"
109,"Chinese Crested Hairless Dog"
110,"Schwyzer Niederlaufhund"
111,"Deutscher Vorstehhund"
112,"Silky Terrier"
113,"Epagneul bleu de Picardie"
114,"Deutscher Langhaarschäfer"
115,"Boerboel"
116,"Rhodesian Ridgeback"
117,"Portugiesischer Wasserhund"
118,"Welsh Corgi Cardigan"
119,"Breton"
120,"Erdélyi Kopó"
121,"Dogo Canario"
122,"Cattle Dog"
123,"Mittelspitz"
124,"Perro de Agua Espanol"
125,"English Staffordshire Terrier"
126,"Spanischer Laufhund (Sabueso Espanol)"
127,"Sibirischer Husky"
128,"Irischer rot-weiser Setter"
129,"Deutsche Dogge"
130,"Epagneul"
131,"Zwergdachshund"
132,"Boston Terrier"
133,"Bordeauxdogge"
134,"Miniature American Shepard"
135,"Ca de Bestiar (Spanischer Schäferhund)"
136,"Bull Terrier"
137,"Riesenschnauzer"
138,"Drentse Patrijshond (Drentscher Hühnerhund)"
139,"Bolonka Zwetna"
140,"Shikoku"
141,"Bearded Collie"
142,"Altdeutscher Schäfer"
143,"Siberian Husky"
144,"Pomeranian"
145,"Belgischer Schäferhund"
146,"Boxer"
147,"Grand Basset Griffon Vendeen"
148,"Miniature Bull Terrier"
149,"Berger des Pyrenées"
150,"Grosspudel"
151,"Schnauzer"
152,"Thai Ridgeback"
153,"Parson Russell Terrier"
154,"Grossspitz"
155,"Neufundländer"
156,"Bayerischer Gebirgsschweisshund"
157,"Lemon Walker Hound"
158,"American Akita"
159,"Tamaskan"
160,"Powder Puff"
161,"Kangal"
162,"Border Terrier"
163,"Malamut"
164,"Welsh Terrier"
165,"Basset artesien normand"
166,"Entlebucher Sennenhund"
167,"Deutsche Bracke"
168,"Rauhaar Dackel"
169,"Spanischer Wasserhund"
170,"Schipperke"
171,"Welsh Corgi Pembroke"
172,"Deutsch Drahthaar"
173,"Beagle"
174,"Holländischer Schäfer"
175,"Xoloitzcuintle"
176,"Tibet Terrier"
177,"Bracke"
178,"Welsh Corgi"
179,"King Charles Spaniel"
180,"Australian Silky Terrier"
181,"Englische Bulldogge"
182,"Irish Wolfhound"
183,"Braquet Griffon Vendéen"
184,"Canaan Dog"
185,"Spinone"
186,"Perro Sin Pelo Del Perú klein"
187,"Volpino Italiano"
188,"Bulldog"
189,"Goldendoodle"
190,"Bichon maltais"
191,"English Cocker Spaniel"
192,"Berger de Beauce"
193,"Epagneul nain continental"
194,"Akita"
195,"Jack Russel Terrier"
196,"Leonberger"
197,"Transylvanischer Laufhund"
198,"Bulgarischer Sennenhund"
199,"Französische Bulldogge"
200,"Shiba Inu"
201,"Berger Picard"
202,"Cairn Terrier"
203,"Oesterreichischer Pinscher"
204,"Alaskan Malamute"
205,"Chinese Crested Powderpuff"
206,"Mudi"
207,"Kurzhaar Dackel"
208,"Deutscher Schäfer"
209,"Chinese Foo Dog"
210,"Kishu"
211,"Norwegischer Buhund"
212,"Istrianer Bracke"
213,"Luzerner Laufhund"
214,"Australian Terrier"
215,"Polnischer Niederungshütehund"
216,"Tosa Inu"
217,"Sloughi"
218,"Bullmastiff"
219,"Basset Fauve de Bretagne"
220,"Continental Bulldog"
221,"Eurasier"
222,"Wasserhund"
223,"Tschechischer Terrier"
224,"Dogo Argentino"
225,"Basset Hound"
226,"Puli"
227,"Parson Jack Russell Terrier"
228,"Griffon"
229,"Unbekannt"
230,"Maremmen-Abruzzen-Schäferhund"
231,"Norwegischer Lundehund"
232,"Norfolk Terrier"
233,"Dansk/Svensk-Gardhund"
234,"Old Englische Bulldogge"
235,"Beauceron Berge de Beauce"
236,"$Labradoodle$"
237,"Berger de Picardie"
238,"Deutscher Boxer"
239,"Epagneul Breton (Bretonischer Vorstehhund)"
240,"Skye Terrier"
241,"Groenendael"
242,"Cao de Água Português"
243,"Bedlington Terrier"
244,"Flat Coated Retriever"
245,"Mastino Napoletano"
246,"Islandhund"
247,"Bichon frisé"
248,"Norwich Terrier"
249,"Windspiel"
250,"Kromfohrländer"
251,"Kleinpudel"
252,"Azawakh"
253,"Dalmatiner"
254,"Langhaardackel"
255,"Border Collie"
256,"Bichon à poil frisé"
257,"Kaukasischer Schäfer"
258,"Jagdhund"
259,"Minipudel"
260,"Bretonischer Spaniel"
261,"West Highland White Terrier"
262,"Dachshund"
263,"Russischer Toy"
264,"Podengo Portugues klein"
265,"Deutscher Grossspitz"
266,"Sheltie"
267,"Pinscher"
268,"Ratenero Bodeguero"
269,"Sennenhund"
270,"Schapendoes"
271,"Galgo Espanol"
272,"Deutscher Schäferhund"
273,"Kaninchen-Dachshund"
274,"English Setter"
275,"Pointer"
276,"Ratero"
277,"Chinese Crested"
278,"Lakeland Terrier"
279,"Deutscher Kleinspitz"
280,"Bichon"
281,"Schweizer Niederlaufhund"
282,"Segugio italiano"
283,"American Staffordshire Terrier"
284,"Australien Kelpie"
285,"Polnische Bracke"
286,"Whippet"
287,"Airedale Terrier"
288,"Hovawart"
289,"Setter"
290,"Old English  Sheepdog"
291,"Maremmano"
292,"Berger de Brie"
293,"Mops"
294,"Tiroler Bracke"
295,"Cimarron Uruguayo"
296,"Scottish Terrier"
297,"Biewer Yorkshire Terrier"
298,"Parson Terrier"
299,"Grosser Schweizer Sennenhund"
300,"Japan Chin"
301,"Ciobanesc Romanesc Carpatin"
302,"Bouvier"
303,"Cane Corso"
304,"Tibetan Spaniel"
305,"Spaniel"
306,"Beauceron"
307,"Grand Griffon Vendeen"
308,"American Bulldog"
309,"Bichon Havanais"
