"id","ownerid","ageclassid","sexid","kreisid","quartierid"
172,4908,3,1,5,"51"
173,4908,3,1,5,"51"
174,5088,3,1,7,"72"
7088,5088,3,1,7,"72"
13968,5088,3,1,7,"72"
21072,5088,3,1,7,"72"
28414,5088,3,1,7,"72"
36004,5088,3,1,7,"72"
43777,5088,3,1,7,"72"
52281,5088,3,1,7,"72"
175,5113,10,1,11,"119"
6165,5113,10,1,11,"119"
13969,5113,10,1,11,"119"
21073,5113,10,1,11,"119"
28415,5113,10,1,11,"119"
36005,5113,10,1,11,"119"
36006,5113,10,1,11,"119"
43778,5113,10,1,11,"119"
43779,5113,10,1,11,"119"
176,5225,4,1,3,"33"
7089,5225,4,1,3,"33"
13970,5225,4,1,3,"33"
21074,5225,4,1,3,"33"
28416,5225,4,1,3,"33"
36007,5225,4,1,3,"33"
43780,5225,4,1,3,"33"
52282,5225,4,1,3,"33"
177,5227,10,1,10,"101"
7090,5227,10,1,10,"101"
13971,5227,10,1,10,"101"
21075,5227,10,1,10,"101"
28417,5227,10,1,10,"101"
36008,5227,10,1,10,"101"
43781,5227,10,1,10,"101"
52284,5227,10,1,10,"101"
178,5348,10,1,7,"74"
7091,5348,10,1,7,"74"
13972,5348,10,1,7,"74"
21076,5348,10,1,7,"74"
28418,5348,10,1,7,"74"
179,5361,10,1,7,"74"
7092,5361,10,1,7,"74"
180,5406,3,1,6,"61"
7093,5406,3,1,6,"61"
13973,5406,3,1,6,"61"
21077,5406,3,1,6,"61"
28419,5406,3,1,6,"61"
36009,5406,3,1,6,"61"
43782,5406,3,1,6,"61"
52285,5406,3,1,6,"61"
181,6071,10,1,3,"34"
7094,6071,10,1,3,"34"
13975,6071,10,1,3,"34"
13976,6071,10,1,3,"34"
13977,6071,10,1,3,"34"
21079,6071,10,1,3,"34"
21080,6071,10,1,3,"34"
28421,6071,10,1,3,"34"
28422,6071,10,1,3,"34"
36011,6071,10,1,3,"34"
36012,6071,10,1,3,"34"
43783,6071,10,1,3,"34"
43784,6071,10,1,3,"34"
52287,6071,10,1,3,"34"
52288,6071,10,1,3,"34"
182,6103,3,2,4,"42"
7095,6103,3,2,4,"42"
183,6314,10,1,10,"101"
7096,6314,10,1,10,"101"
13978,6314,10,1,10,"101"
184,6321,3,2,8,"81"
7097,6321,3,2,8,"81"
59710,6321,3,2,8,"81"
