"id","breedid1","breedid2","breedtypeid","breedstatusid","sexid","cutoffdate","birthyear","colorid","ownerid"
28437,195,NULL,1,1,1,2019,2010,177,21198
29752,34,NULL,2,1,2,2019,2005,40,22655
29837,12,NULL,1,1,1,2019,2007,129,53501
30587,278,NULL,1,1,1,2019,2007,41,23584
30954,14,NULL,2,1,2,2019,2010,42,23975
31543,95,NULL,1,1,1,2019,2010,152,54767
32081,39,NULL,1,1,1,2019,2013,42,55193
32169,20,NULL,2,1,2,2019,2013,103,55266
32704,262,NULL,1,1,2,2019,2012,13,55694
33102,355,NULL,1,1,1,2019,2015,158,55994
33164,48,NULL,1,1,2,2019,2007,142,26398
33657,173,NULL,1,1,1,2019,2012,177,56398
33914,132,NULL,1,1,2,2019,2016,137,56589
34080,12,NULL,1,1,2,2019,2015,158,56711
34330,344,NULL,1,1,1,2019,2015,7,56888
35902,12,NULL,1,1,2,2019,2009,158,57951
35986,338,NULL,2,1,1,2020,2009,150,52340
36316,293,NULL,1,1,2,2020,2017,41,52636
36750,293,NULL,1,1,2,2020,2008,41,53019
36821,337,NULL,1,1,2,2020,2012,177,53082
36934,293,NULL,1,1,1,2020,2015,41,48112
37193,267,NULL,1,1,2,2020,2008,13,53404
38006,384,NULL,1,1,1,2020,2006,6,59776
38212,12,NULL,1,1,2,2020,2009,137,30958
38546,262,NULL,1,1,1,2020,2010,142,59720
39067,293,NULL,1,1,1,2020,2012,42,54970
39087,12,NULL,1,1,2,2020,2012,41,54989
39384,49,NULL,1,1,2,2020,2017,158,55244
40130,355,NULL,1,1,2,2020,2014,158,55898
40173,27,NULL,1,1,1,2020,2010,83,55936
40552,355,NULL,1,1,1,2020,2010,158,56241
40888,355,NULL,1,1,1,2020,2016,158,56517
40968,384,NULL,1,1,2,2020,2015,114,56585
41185,293,NULL,1,1,2,2020,2016,42,56770
42298,12,NULL,1,1,2,2020,2018,179,49737
42340,139,NULL,1,1,1,2020,2018,177,57666
42596,352,NULL,1,1,1,2020,2018,18,59762
42631,331,NULL,2,1,1,2020,2018,42,57900
42712,374,NULL,1,1,2,2020,2018,13,57962
43043,331,NULL,2,1,2,2020,2017,42,58223
43102,12,NULL,1,1,2,2020,2019,199,58268
43127,244,NULL,2,1,2,2020,2013,13,113
43373,293,NULL,1,1,1,2020,2018,41,58462
44613,255,NULL,2,1,2,2021,2020,177,53102
44775,229,229,1,4,1,2021,2005,137,53259
45281,337,NULL,1,1,2,2021,2020,177,53686
45435,337,NULL,1,1,1,2021,2008,177,53821
45813,293,NULL,1,1,1,2021,2009,41,59576
46395,200,NULL,1,1,1,2021,2011,103,54664
47430,266,NULL,1,1,1,2021,2014,40,55605
47679,14,NULL,2,1,1,2021,2019,42,55833
47721,191,NULL,1,1,1,2021,2015,91,55873
47763,173,NULL,1,1,2,2021,2015,177,55912
48556,355,NULL,1,1,1,2021,2016,158,56613
48893,95,NULL,1,1,1,2021,2014,13,56913
49248,12,NULL,1,1,1,2021,2016,13,41864
49266,293,NULL,1,1,2,2021,2012,41,57248
49721,14,NULL,2,1,1,2021,2018,125,57655
49888,12,NULL,1,1,1,2021,2018,132,57802
50053,12,NULL,1,1,1,2021,2018,66,57958
50339,267,NULL,1,1,1,2021,2005,42,43090
50607,293,NULL,1,1,2,2021,2017,199,59789
50957,153,NULL,1,1,2,2021,2018,177,58727
51388,12,NULL,1,1,2,2021,2020,41,59109
51452,173,NULL,1,1,2,2021,2007,32,136
51740,12,NULL,1,1,2,2021,2018,167,59425
51950,40,NULL,1,1,1,2021,2013,158,59612
52250,293,NULL,1,1,1,2022,2006,13,43775
52395,262,NULL,1,1,1,2022,2008,13,52425
52600,277,NULL,1,1,2,2022,2017,177,52628
52793,12,NULL,1,1,1,2022,2011,42,59680
52856,176,NULL,1,1,1,2022,2012,205,44426
53844,320,NULL,1,1,1,2022,2010,103,45546
53883,39,NULL,1,1,2,2022,2021,41,145
53920,153,NULL,1,1,2,2022,2020,177,45629
53963,355,NULL,1,1,1,2022,2009,158,45679
54543,74,NULL,1,1,1,2022,2021,158,31387
54874,200,NULL,1,1,2,2022,2008,83,46689
55540,199,NULL,1,1,2,2022,2012,19,47428
55748,199,NULL,1,1,2,2022,2013,103,47656
55874,12,NULL,1,1,1,2022,2016,132,47788
55930,49,NULL,1,1,1,2022,2010,41,59732
56083,355,NULL,1,1,2,2022,2015,158,48023
56457,267,NULL,1,1,1,2022,2016,103,48449
57045,12,NULL,1,1,2,2022,2016,132,49090
57223,12,NULL,1,1,1,2022,2016,13,41864
57624,12,NULL,1,1,2,2022,2018,179,49737
57747,139,NULL,1,1,1,2022,2018,205,49876
58534,173,NULL,1,1,1,2022,2019,177,50769
58704,144,NULL,1,1,2,2022,2019,115,50976
